,#,When,Who,Problem,Lang,Verdict,Time,Memory
183,58193684,Aug/03/2019 00:35,friedrich_hayek,B - Borze,GNU C11,Wrong answer on test 1,30 ms,0 KB
184,58193580,Aug/03/2019 00:29,friedrich_hayek,A - Taymyr is calling you,GNU C11,Accepted,31 ms,0 KB
185,58193526,Aug/03/2019 00:27,friedrich_hayek,A - Taymyr is calling you,GNU C11,Wrong answer on test 4,15 ms,0 KB
186,58193367,Aug/03/2019 00:18,friedrich_hayek,A - Sasha and Sticks,GNU C11,Accepted,31 ms,0 KB
187,57820911,Jul/27/2019 02:07,friedrich_hayek,A - Generous Kefa,GNU C11,Accepted,31 ms,0 KB
188,57763958,Jul/25/2019 22:12,friedrich_hayek,A - Supermarket,GNU C11,Wrong answer on test 12,31 ms,0 KB
189,57763885,Jul/25/2019 22:09,friedrich_hayek,A - Supermarket,GNU C11,Wrong answer on test 12,31 ms,0 KB
190,57763517,Jul/25/2019 22:00,friedrich_hayek,A - New Year and Hurry,GNU C11,Accepted,31 ms,0 KB
191,57763347,Jul/25/2019 21:56,friedrich_hayek,A - New Year and Hurry,GNU C11,Wrong answer on test 5,30 ms,0 KB
192,57763040,Jul/25/2019 21:48,friedrich_hayek,A - Three Piles of Candies,GNU C11,Accepted,31 ms,0 KB
193,57286992,Jul/18/2019 18:01,friedrich_hayek,A - Search for Pretty Integers,GNU C11,Wrong answer on test 4,31 ms,0 KB
194,57286384,Jul/18/2019 17:48,friedrich_hayek,A - Crazy Computer,GNU C11,Accepted,46 ms,0 KB
195,57279544,Jul/18/2019 15:13,friedrich_hayek,A - Got Any Grapes?,GNU C11,Accepted,31 ms,0 KB
196,57142386,Jul/16/2019 14:39,friedrich_hayek,A - Sea Battle,GNU C11,Accepted,31 ms,0 KB
197,57093161,Jul/15/2019 14:24,friedrich_hayek,A - Theatre Square,GNU C11,Accepted,31 ms,0 KB
198,57092440,Jul/15/2019 14:12,friedrich_hayek,A - Eleven,GNU C11,Accepted,31 ms,0 KB
199,57091901,Jul/15/2019 14:02,friedrich_hayek,A - Patrick and Shopping,GNU C11,Accepted,30 ms,0 KB
200,57091792,Jul/15/2019 14:00,friedrich_hayek,A - Patrick and Shopping,GNU C11,Wrong answer on test 4,15 ms,0 KB
201,57069114,Jul/15/2019 04:23,friedrich_hayek,A - Free Ice Cream,GNU C11,Accepted,31 ms,0 KB
202,57045918,Jul/14/2019 18:58,friedrich_hayek,A - Diverse Strings,GNU C11,Accepted,31 ms,0 KB
203,57040845,Jul/14/2019 18:38,friedrich_hayek,A - Domino piling,GNU C11,Accepted,62 ms,0 KB
204,57038776,Jul/14/2019 18:31,friedrich_hayek,A - Tokitsukaze and Enhancement,GNU C11,Accepted,31 ms,0 KB
205,56993109,Jul/13/2019 22:38,friedrich_hayek,A - Another One Bites The Dust,GNU C11,Accepted,31 ms,0 KB
206,56982108,Jul/13/2019 17:18,friedrich_hayek,A - Pasha and Hamsters,GNU C11,Accepted,31 ms,0 KB
207,56973057,Jul/13/2019 14:05,friedrich_hayek,A - Minimum Binary Number,GNU C11,Accepted,30 ms,0 KB
208,56972983,Jul/13/2019 14:04,friedrich_hayek,A - Minimum Binary Number,GNU C11,Wrong answer on test 7,31 ms,0 KB
